

*******************************************************************************
Ephemeris / WWW_USER Sun Sep  8 01:45:47 2024 Pasadena, USA      / Horizons
*******************************************************************************
Target body name: Earth (399)                     {source: DE441}
Center body name: Sun (10)                        {source: DE441}
Center-site name: BODY CENTER
*******************************************************************************
Start time      : A.D. 2020-Jan-01 00:00:00.0000 TDB
Stop  time      : A.D. 2030-Jan-01 00:00:00.0000 TDB
Step-size       : 1440 minutes
*******************************************************************************
Center geodetic : 0.0, 0.0, 0.0                   {E-lon(deg),Lat(deg),Alt(km)}
Center cylindric: 0.0, 0.0, 0.0                   {E-lon(deg),Dxy(km),Dz(km)}
Center radii    : 695700.0, 695700.0, 695700.0 km {Equator_a, b, pole_c}
Output units    : KM-S
Calendar mode   : Mixed Julian/Gregorian
Output type     : GEOMETRIC cartesian states
Output format   : 4 (position, LT, range, and range-rate)
Reference frame : Ecliptic of J2000.0
*******************************************************************************
            JDTDB,            Calendar Date (TDB),                      X,                      Y,                      Z,                     LT,                     RG,                     RR,
**************************************************************************************************************************************************************************************************
$$SOE
2458849.500000000, A.D. 2020-Jan-01 00:00:00.0000, -2.488497152985318E+07,  1.449783471519303E+08, -6.171709629841149E+03,  4.906679425603381E+02,  1.470985485619665E+08, -3.836217666134902E-02,
2458850.500000000, A.D. 2020-Jan-02 00:00:00.0000, -2.745980212393232E+07,  1.445097591682957E+08, -6.116887968093157E+03,  4.906580587519082E+02,  1.470955854707430E+08, -3.016268909424871E-02,
2458851.500000000, A.D. 2020-Jan-03 00:00:00.0000, -3.002586381007168E+07,  1.439961820648797E+08, -6.080354373447597E+03,  4.906505948757958E+02,  1.470933478569770E+08, -2.156716510559118E-02,
2458852.500000000, A.D. 2020-Jan-04 00:00:00.0000, -3.258235979582509E+07,  1.434378196538077E+08, -6.062506451241672E+03,  4.906456663363837E+02,  1.470918703180323E+08, -1.256705014959149E-02,
2458853.500000000, A.D. 2020-Jan-05 00:00:00.0000, -3.512850449874069E+07,  1.428348898542020E+08, -6.062982639506459E+03,  4.906433907934828E+02,  1.470911881274327E+08, -3.155349769762410E-03,
2458854.500000000, A.D. 2020-Jan-06 00:00:00.0000, -3.766352418117252E+07,  1.421876237228418E+08, -6.080618872061372E+03,  4.906438874948022E+02,  1.470913370347422E+08,  6.671402977904221E-03,
2458855.500000000, A.D. 2020-Jan-07 00:00:00.0000, -4.018665775174202E+07,  1.414962640722080E+08, -6.113384899146855E+03,  4.906472756411458E+02,  1.470923527754626E+08,  1.690839167347682E-02,
2458856.500000000, A.D. 2020-Jan-08 00:00:00.0000, -4.269715747854243E+07,  1.407610634664288E+08, -6.158320847131312E+03,  4.906536709956893E+02,  1.470942700545210E+08,  2.753517600737826E-02,
2458857.500000000, A.D. 2020-Jan-09 00:00:00.0000, -4.519428921429489E+07,  1.399822815096748E+08, -6.211509445942938E+03,  4.906631801176969E+02,  1.470971208175811E+08,  3.850681973702498E-02,
2458858.500000000, A.D. 2020-Jan-10 00:00:00.0000, -4.767733163793358E+07,  1.391601815743282E+08, -6.268131090052426E+03,  4.906758920821251E+02,  1.471009317686430E+08,  4.974582021930051E-02,
