jdtdb,calendar,x,y,z,lt,rg,rr
2458849.500000000,A.D. 2020-Jan-01 00:00:00.0000,-1.974852868472516E+08,-1.325074305699912E+08,2.068800235454373E+06,7.933142864233880E+02,2.378296398933836E+08,-1.914883776111434E+00
2458850.500000000,A.D. 2020-Jan-02 00:00:00.0000,-1.962332428586018E+08,-1.340617546190422E+08,2.005510444867887E+06,7.927609630027717E+02,2.376637577050480E+08,-1.924961639510176E+00
2458851.500000000,A.D. 2020-Jan-03 00:00:00.0000,-1.949667166735666E+08,-1.356061853715648E+08,1.942072660639413E+06,7.922047525908018E+02,2.374970100184783E+08,-1.934918248162387E+00
2458852.500000000,A.D. 2020-Jan-04 00:00:00.0000,-1.936857714297158E+08,-1.371405877693784E+08,1.878491262549438E+06,7.916456902969160E+02,2.373294073592192E+08,-1.944752436415479E+00
2458853.500000000,A.D. 2020-Jan-05 00:00:00.0000,-1.923904714871112E+08,-1.386648268472569E+08,1.814770658350937E+06,7.910838115689369E+02,2.371609603542604E+08,-1.954463045268556E+00
2458854.500000000,A.D. 2020-Jan-06 00:00:00.0000,-1.910808824355335E+08,-1.401787677422236E+08,1.750915283811815E+06,7.905191521944025E+02,2.369916797324360E+08,-1.964048911544175E+00
2458855.500000000,A.D. 2020-Jan-07 00:00:00.0000,-1.897570711016960E+08,-1.416822757028961E+08,1.686929602764346E+06,7.899517483015893E+02,2.368215763247308E+08,-1.973508850332013E+00
2458856.500000000,A.D. 2020-Jan-08 00:00:00.0000,-1.884191055562761E+08,-1.431752160990460E+08,1.622818107072376E+06,7.893816363600998E+02,2.366506610644565E+08,-1.982841653486760E+00
2458857.500000000,A.D. 2020-Jan-09 00:00:00.0000,-1.870670551208242E+08,-1.446574544315151E+08,1.558585316529088E+06,7.888088531814871E+02,2.364789449874391E+08,-1.992046111013489E+00
2458858.500000000,A.D. 2020-Jan-10 00:00:00.0000,-1.857009903747371E+08,-1.461288563423800E+08,1.494235778782040E+06,7.882334359202212E+02,2.363064392323086E+08,-2.001121029675244E+00
2458859.500000000,A.D. 2020-Jan-11 00:00:00.0000,-1.843209831623367E+08,-1.475892876251487E+08,1.429774069324136E+06,7.876554220746666E+02,2.361331550407917E+08,-2.010065230165102E+00
2458860.500000000,A.D. 2020-Jan-12 00:00:00.0000,-1.829271065998934E+08,-1.490386142349699E+08,1.365204791481949E+06,7.870748494875679E+02,2.359591037578580E+08,-2.018877533401121E+00
2458861.500000000,A.D. 2020-Jan-13 00:00:00.0000,-1.815194350825006E+08,-1.504767022990610E+08,1.300532576342806E+06,7.864917563462209E+02,2.357842968317706E+08,-2.027556751657439E+00
2458862.500000000,A.D. 2020-Jan-14 00:00:00.0000,-1.800980442909307E+08,-1.519034181275254E+08,1.235762082666792E+06,7.859061811830520E+02,2.356087458142605E+08,-2.036101685461412E+00
2458863.500000000,A.D. 2020-Jan-15 00:00:00.0000,-1.786630111986017E+08,-1.533186282244836E+08,1.170897996851899E+06,7.853181628768061E+02,2.354324623608820E+08,-2.044511122898693E+00
2458864.500000000,A.D. 2020-Jan-16 00:00:00.0000,-1.772144140785551E+08,-1.547221992993093E+08,1.105945032925539E+06,7.847277406536277E+02,2.352554582313376E+08,-2.052783844267442E+00
2458865.500000000,A.D. 2020-Jan-17 00:00:00.0000,-1.757523325102417E+08,-1.561139982779060E+08,1.040907932474412E+06,7.841349540873746E+02,2.350777452895712E+08,-2.060918631025854E+00
2458866.500000000,A.D. 2020-Jan-18 00:00:00.0000,-1.742768473861085E+08,-1.574938923141919E+08,9.757914644969851E+05,7.835398430995135E+02,2.348993355037375E+08,-2.068914273440912E+00
2458867.500000000,A.D. 2020-Jan-19 00:00:00.0000,-1.727880409181864E+08,-1.588617488019228E+08,9.106004252611995E+05,7.829424479594154E+02,2.347202409462902E+08,-2.076769574671780E+00
2458868.500000000,A.D. 2020-Jan-20 00:00:00.0000,-1.712859966448117E+08,-1.602174353867448E+08,8.453396382404119E+05,7.823428092851416E+02,2.345404737942178E+08,-2.084483345722674E+00
