jdtdb,calendar,x,y,z,lt,rg,rr
2458849.500000000,A.D. 2020-Jan-01 00:00:00.0000,-9.474762662376745E+06,-6.894147965135109E+07,-4.764334842347469E+06,2.326689697041014E+02,6.975240232792008E+07,-8.565865831884274E-01
2458850.500000000,A.D. 2020-Jan-02 00:00:00.0000,-6.137254049890518E+06,-6.919959387409388E+07,-5.091593196568105E+06,2.323525699034581E+02,6.965754805397451E+07,-1.338907149711136E+00
2458851.500000000,A.D. 2020-Jan-03 00:00:00.0000,-2.781766189146805E+06,-6.925489396091090E+07,-5.403928015361737E+06,2.318973718928269E+02,6.952108312349071E+07,-1.819700854006727E+00
2458852.500000000,A.D. 2020-Jan-04 00:00:00.0000,5.819115120090663E+05,-6.910602061464906E+07,-5.700330191577382E+06,2.313038994294424E+02,6.934316455493733E+07,-2.298382066741363E+00
2458853.500000000,A.D. 2020-Jan-05 00:00:00.0000,3.943846066106545E+06,-6.875184124742338E+07,-5.979795972498111E+06,2.305728495217177E+02,6.912400130617987E+07,-2.774332580955047E+00
2458854.500000000,A.D. 2020-Jan-06 00:00:00.0000,7.293934515281223E+06,-6.819146021208332E+07,-6.241325374948949E+06,2.297051031696507E+02,6.886385749437317E+07,-3.246892145166915E+00
2458855.500000000,A.D. 2020-Jan-07 00:00:00.0000,1.062187701128164E+07,-6.742423310378423E+07,-6.483920884442352E+06,2.287017389155188E+02,6.856305645835762E+07,-3.715348406261371E+00
2458856.500000000,A.D. 2020-Jan-08 00:00:00.0000,1.391714946429887E+07,-6.644978543447118E+07,-6.706586472098950E+06,2.275640493937844E+02,6.822198572019604E+07,-4.178926131094040E+00
2458857.500000000,A.D. 2020-Jan-09 00:00:00.0000,1.716897589822272E+07,-6.526803604851489E+07,-6.908326972057499E+06,2.262935611072586E+02,6.784110291391826E+07,-4.636775573464646E+00
2458858.500000000,A.D. 2020-Jan-10 00:00:00.0000,2.036630070339749E+07,-6.387922571690409E+07,-7.088147872643981E+06,2.248920576951602E+02,6.742094276110990E+07,-5.087959852358113E+00
2458859.500000000,A.D. 2020-Jan-11 00:00:00.0000,2.349776104820686E+07,-6.228395141999663E+07,-7.245055586947802E+06,2.233616069971423E+02,6.696212518450331E+07,-5.531441209438303E+00
2458860.500000000,A.D. 2020-Jan-12 00:00:00.0000,2.655165980142934E+07,-6.048320690407213E+07,-7.378058282913037E+06,2.217045922545777E+02,6.646536466188762E+07,-5.966066020457858E+00
2458861.500000000,A.D. 2020-Jan-13 00:00:00.0000,2.951593943261562E+07,-5.847843017329435E+07,-7.486167369870819E+06,2.199237478247486E+02,6.593148093295354E+07,-6.390548448929059E+00
2458862.500000000,A.D. 2020-Jan-14 00:00:00.0000,3.237815750294373E+07,-5.627155865365164E+07,-7.568399757885061E+06,2.180221998126100E+02,6.536141118038949E+07,-6.803452654326970E+00
2458863.500000000,A.D. 2020-Jan-15 00:00:00.0000,3.512546454020680E+07,-5.386509283504956E+07,-7.623781028593156E+06,2.160035120449438E+02,6.475622381258631E+07,-7.203173505580510E+00
2458864.500000000,A.D. 2020-Jan-16 00:00:00.0000,3.774458531577001E+07,-5.126216925609705E+07,-7.651349681558546E+06,2.138717378180199E+02,6.411713397719574E+07,-7.587915809319089E+00
2458865.500000000,A.D. 2020-Jan-17 00:00:00.0000,4.022180481626517E+07,-4.846664373476109E+07,-7.650162648529507E+06,2.116314778354827E+02,6.344552093047187E+07,-7.955672148617166E+00
2458866.500000000,A.D. 2020-Jan-18 00:00:00.0000,4.254296053672921E+07,-4.548318575501040E+07,-7.619302299199954E+06,2.092879447088565E+02,6.274294737403618E+07,-8.304199551148436E+00
2458867.500000000,A.D. 2020-Jan-19 00:00:00.0000,4.469344312301842E+07,-4.231738487837265E+07,-7.557885195498899E+06,2.068470343065569E+02,6.201118084477304E+07,-8.630995377328638E+00
2458868.500000000,A.D. 2020-Jan-20 00:00:00.0000,4.665820786678258E+07,-3.897586993780780E+07,-7.465072885937996E+06,2.043154040926728E+02,6.125221720020563E+07,-8.933273053221216E+00
2458869.500000000,A.D. 2020-Jan-21 00:00:00.0000,4.842180011057385E+07,-3.546644156017139E+07,-7.340085065141696E+06,2.017005583737188E+02,6.046830617482962E+07,-9.207938586005131E+00
2458870.500000000,A.D. 2020-Jan-22 00:00:00.0000,4.996839825325383E+07,-3.179821821504768E+07,-7.182215453238500E+06,1.990109400447867E+02,5.966197888491722E+07,-9.451569209547110E+00
2458871.500000000,A.D. 2020-Jan-23 00:00:00.0000,5.128187874758045E+07,-2.798179545447445E+07,-6.990850770588595E+06,1.962560279655602E+02,5.883607702111204E+07,-9.660396031918719E+00
2458872.500000000,A.D. 2020-Jan-24 00:00:00.0000,5.234590822984757E+07,-2.402941723255062E+07,-6.765493188568100E+06,1.934464384662500E+02,5.799378327914283E+07,-9.830293210250012E+00
2458873.500000000,A.D. 2020-Jan-25 00:00:00.0000,5.314406867234799E+07,-1.995515710938425E+07,-6.505786617391542E+06,1.905940286452141E+02,5.713865232767114E+07,-9.956776967350354E+00
2458874.500000000,A.D. 2020-Jan-26 00:00:00.0000,5.366002213061073E+07,-1.577510567775473E+07,-6.211547134641947E+06,1.877119980357969E+02,5.627464128724271E+07,-1.003501867847530E+01
2458875.500000000,A.D. 2020-Jan-27 00:00:00.0000,5.387772215655677E+07,-1.150755863228615E+07,-5.882797747195847E+06,1.848149838585857E+02,5.540613828619573E+07,-1.005987725578690E+01
