jdtdb,calendar,x,y,z,lt,rg,rr
2458849.500000000,A.D. 2020-Jan-01 00:00:00.0000,4.374662557743002E+09,-9.525175816608447E+08,-8.121631180820256E+07,1.493665541420541E+04,4.477896640923649E+09,-2.745029572520293E-02
2458850.500000000,A.D. 2020-Jan-02 00:00:00.0000,4.374760474874957E+09,-9.520556067987753E+08,-8.122807827971292E+07,1.493664750504730E+04,4.477894269817697E+09,-2.743568871983201E-02
2458851.500000000,A.D. 2020-Jan-03 00:00:00.0000,4.374858343868124E+09,-9.515936252045050E+08,-8.123984919591153E+07,1.493663960072795E+04,4.477891900162371E+09,-2.741671595200011E-02
2458852.500000000,A.D. 2020-Jan-04 00:00:00.0000,4.374956165149125E+09,-9.511316366836921E+08,-8.125162471225464E+07,1.493663170250599E+04,4.477889532334995E+09,-2.739337463691688E-02
2458853.500000000,A.D. 2020-Jan-05 00:00:00.0000,4.375053939144706E+09,-9.506696410419774E+08,-8.126340498420811E+07,1.493662381164081E+04,4.477887166713127E+09,-2.736566205780761E-02
2458854.500000000,A.D. 2020-Jan-06 00:00:00.0000,4.375151666281730E+09,-9.502076380849805E+08,-8.127519016724718E+07,1.493661592939260E+04,4.477884803674560E+09,-2.733357556655592E-02
2458855.500000000,A.D. 2020-Jan-07 00:00:00.0000,4.375249346987170E+09,-9.497456276182986E+08,-8.128698041685641E+07,1.493660805702228E+04,4.477882443597312E+09,-2.729711258407970E-02
2458856.500000000,A.D. 2020-Jan-08 00:00:00.0000,4.375346981688111E+09,-9.492836094475065E+08,-8.129877588852882E+07,1.493660019579152E+04,4.477880086859621E+09,-2.725627060034739E-02
2458857.500000000,A.D. 2020-Jan-09 00:00:00.0000,4.375444570811729E+09,-9.488215833781542E+08,-8.131057673776615E+07,1.493659234696270E+04,4.477877733839937E+09,-2.721104717393040E-02
2458858.500000000,A.D. 2020-Jan-10 00:00:00.0000,4.375542114785299E+09,-9.483595492157695E+08,-8.132238312007856E+07,1.493658451179890E+04,4.477875384916923E+09,-2.716143993093304E-02
2458859.500000000,A.D. 2020-Jan-11 00:00:00.0000,4.375639614036182E+09,-9.478975067658597E+08,-8.133419519098479E+07,1.493657669156386E+04,4.477873040469438E+09,-2.710744656313935E-02
2458860.500000000,A.D. 2020-Jan-12 00:00:00.0000,4.375737068991819E+09,-9.474354558339131E+08,-8.134601310601187E+07,1.493656888752199E+04,4.477870700876543E+09,-2.704906482513125E-02
2458861.500000000,A.D. 2020-Jan-13 00:00:00.0000,4.375834477071198E+09,-9.469733915526847E+08,-8.135783031039083E+07,1.493656108742873E+04,4.477868362467412E+09,-2.708123833252263E-02
2458862.500000000,A.D. 2020-Jan-14 00:00:00.0000,4.375931835187816E+09,-9.465113094367757E+08,-8.136964019510931E+07,1.493655327766342E+04,4.477866021158673E+09,-2.711618562276383E-02
