jdtdb,calendar,x,y,z,lt,rg,rr
2458849.500000000,A.D. 2020-Jan-01 00:00:00.0000,1.941288438346263E+09,-4.692910041074201E+09,-5.932443986930013E+07,1.694148522509347E+04,5.078929497801455E+09,1.128023326850131E+00
2458850.500000000,A.D. 2020-Jan-02 00:00:00.0000,1.941734462518807E+09,-4.692828985367565E+09,-5.945998133200884E+07,1.694180941696353E+04,5.079026688079043E+09,1.123755312579122E+00
2458851.500000000,A.D. 2020-Jan-03 00:00:00.0000,1.942181619285162E+09,-4.692747568651420E+09,-5.959700376285291E+07,1.694213413965250E+04,5.079124037492140E+09,1.131407259563112E+00
2458852.500000000,A.D. 2020-Jan-04 00:00:00.0000,1.942628732391200E+09,-4.692667143106874E+09,-5.973562477402282E+07,1.694246206569696E+04,5.079222347247048E+09,1.144166814510910E+00
2458853.500000000,A.D. 2020-Jan-05 00:00:00.0000,1.943074651615860E+09,-4.692588143407851E+09,-5.987453610274124E+07,1.694279301550702E+04,5.079321563504083E+09,1.150676144608361E+00
2458854.500000000,A.D. 2020-Jan-06 00:00:00.0000,1.943519277819496E+09,-4.692509699812816E+09,-6.001217023709893E+07,1.694312411924719E+04,5.079420825908200E+09,1.145150543579753E+00
2458855.500000000,A.D. 2020-Jan-07 00:00:00.0000,1.943963651790084E+09,-4.692430413043462E+09,-6.014809785849571E+07,1.694345237522452E+04,5.079519234574495E+09,1.132537983939364E+00
2458856.500000000,A.D. 2020-Jan-08 00:00:00.0000,1.944409026508400E+09,-4.692349602564349E+09,-6.028341211457348E+07,1.694377732922861E+04,5.079616653334120E+09,1.124120587386094E+00
2458857.500000000,A.D. 2020-Jan-09 00:00:00.0000,1.944855748316299E+09,-4.692267914811366E+09,-6.041975338925242E+07,1.694410148161583E+04,5.079713831775051E+09,1.127434257866202E+00
2458858.500000000,A.D. 2020-Jan-10 00:00:00.0000,1.945302947933400E+09,-4.692186745705322E+09,-6.055784460416651E+07,1.694442805336585E+04,5.079811735522703E+09,1.139536384348824E+00
2458859.500000000,A.D. 2020-Jan-11 00:00:00.0000,1.945749316974124E+09,-4.692106994833914E+09,-6.069684726294351E+07,1.694475811170712E+04,5.079910684524116E+09,1.149651722909197E+00
2458860.500000000,A.D. 2020-Jan-12 00:00:00.0000,1.946194274411515E+09,-4.692028264074121E+09,-6.083510999956465E+07,1.694508962069451E+04,5.080010068418293E+09,1.148782034774026E+00
2458861.500000000,A.D. 2020-Jan-13 00:00:00.0000,1.946638484521201E+09,-4.691949212361128E+09,-6.097164043824625E+07,1.694541925646376E+04,5.080108890735801E+09,1.137721172302866E+00
2458862.500000000,A.D. 2020-Jan-14 00:00:00.0000,1.947083265351852E+09,-4.691868751255387E+09,-6.110699107325840E+07,1.694574537216295E+04,5.080206657762856E+09,1.126362496962347E+00
2458863.500000000,A.D. 2020-Jan-15 00:00:00.0000,1.947529412417452E+09,-4.691787017038675E+09,-6.124276731287861E+07,1.694606947001602E+04,5.080303819854859E+09,1.124870592424422E+00
2458864.500000000,A.D. 2020-Jan-16 00:00:00.0000,1.947976488241247E+09,-4.691705249162311E+09,-6.138019397086906E+07,1.694639485954103E+04,5.080401369180370E+09,1.134593587139070E+00
2458865.500000000,A.D. 2020-Jan-17 00:00:00.0000,1.948423213657351E+09,-4.691624683425690E+09,-6.151902262040281E+07,1.694672370218286E+04,5.080499953724260E+09,1.146874037954023E+00
2458866.500000000,A.D. 2020-Jan-18 00:00:00.0000,1.948868608956392E+09,-4.691545450303429E+09,-6.165775446754622E+07,1.694705508528287E+04,5.080599299878353E+09,1.150783167340191E+00
2458867.500000000,A.D. 2020-Jan-19 00:00:00.0000,1.949312866911706E+09,-4.691466459008129E+09,-6.179497645803118E+07,1.694738583693877E+04,5.080698456730261E+09,1.142854226053529E+00
2458868.500000000,A.D. 2020-Jan-20 00:00:00.0000,1.949757181601746E+09,-4.691386369453022E+09,-6.193062143161225E+07,1.694771335405114E+04,5.080796643890413E+09,1.130181735636903E+00
2458869.500000000,A.D. 2020-Jan-21 00:00:00.0000,1.950202683514613E+09,-4.691304788234138E+09,-6.206602941042924E+07,1.694803792696310E+04,5.080893948401493E+09,1.124103295050674E+00
2458870.500000000,A.D. 2020-Jan-22 00:00:00.0000,1.950649429909704E+09,-4.691222620424637E+09,-6.220275153165746E+07,1.694836248113705E+04,5.080991247295055E+09,1.130064990862905E+00
2458871.500000000,A.D. 2020-Jan-23 00:00:00.0000,1.951096354205588E+09,-4.691141261058141E+09,-6.234116532150984E+07,1.694868996363899E+04,5.081089424079264E+09,1.142762299635981E+00
2458872.500000000,A.D. 2020-Jan-24 00:00:00.0000,1.951542218234108E+09,-4.691061350605176E+09,-6.248013919191360E+07,1.694902071447426E+04,5.081188580685153E+09,1.150892183132828E+00
2458873.500000000,A.D. 2020-Jan-25 00:00:00.0000,1.951986715809225E+09,-4.690982204663930E+09,-6.261804186680841E+07,1.694935216548275E+04,5.081287947197696E+09,1.147226429416710E+00
2458874.500000000,A.D. 2020-Jan-26 00:00:00.0000,1.952430745952544E+09,-4.690902423701841E+09,-6.275419646390891E+07,1.694968112977716E+04,5.081386568212111E+09,1.135053836545470E+00
2458875.500000000,A.D. 2020-Jan-27 00:00:00.0000,1.952875611828086E+09,-4.690821141206755E+09,-6.288948539465189E+07,1.695000664555057E+04,5.081484155385941E+09,1.125263025075832E+00
2458876.500000000,A.D. 2020-Jan-28 00:00:00.0000,1.953321857329800E+09,-4.690738797893675E+09,-6.302556356545830E+07,1.695033083658518E+04,5.081581345413067E+09,1.126618139205756E+00
2458877.500000000,A.D. 2020-Jan-29 00:00:00.0000,1.953768781513817E+09,-4.690656748061521E+09,-6.316338062492919E+07,1.695065701483809E+04,5.081679131193254E+09,1.137925564734484E+00
2458878.500000000,A.D. 2020-Jan-30 00:00:00.0000,1.954215065019145E+09,-4.690576050600052E+09,-6.330233438339114E+07,1.695098672397920E+04,5.081777975507091E+09,1.149117705299192E+00
2458879.500000000,A.D. 2020-Jan-31 00:00:00.0000,1.954659946608386E+09,-4.690496525423410E+09,-6.344080892366290E+07,1.695131836494020E+04,5.081877398965964E+09,1.150237232913464E+00
2458880.500000000,A.D. 2020-Feb-01 00:00:00.0000,1.955103901583385E+09,-4.690416914089099E+09,-6.357761489700937E+07,1.695164862208707E+04,5.081976407567795E+09,1.140304942572927E+00
2458881.500000000,A.D. 2020-Feb-02 00:00:00.0000,1.955548218799663E+09,-4.690336001445232E+09,-6.371305070563054E+07,1.695197542014856E+04,5.082074379161919E+09,1.128206058614690E+00
2458882.500000000,A.D. 2020-Feb-03 00:00:00.0000,1.955993850741807E+09,-4.690253700575295E+09,-6.384863749951911E+07,1.695229977846402E+04,5.082171619338584E+09,1.124767272030975E+00
2458883.500000000,A.D. 2020-Feb-04 00:00:00.0000,1.956440562820800E+09,-4.690171130733002E+09,-6.398576104925632E+07,1.695262490095344E+04,5.082269088608838E+09,1.133076836094520E+00
2458884.500000000,A.D. 2020-Feb-05 00:00:00.0000,1.956887143509387E+09,-4.690089617672780E+09,-6.412443508068919E+07,1.695295331446311E+04,5.082367544502144E+09,1.145737764331761E+00
2458885.500000000,A.D. 2020-Feb-06 00:00:00.0000,1.957332485488648E+09,-4.690009511433486E+09,-6.426329039279962E+07,1.695328461616868E+04,5.082466866254795E+09,1.151482246368993E+00
2458886.500000000,A.D. 2020-Feb-07 00:00:00.0000,1.957776572434184E+09,-4.689929874831988E+09,-6.440079568880653E+07,1.695361583433583E+04,5.082566162963261E+09,1.145208861807714E+00
2458887.500000000,A.D. 2020-Feb-08 00:00:00.0000,1.958220494115660E+09,-4.689849318456317E+09,-6.453662284663439E+07,1.695394407764370E+04,5.082664567831347E+09,1.132534927527917E+00
2458888.500000000,A.D. 2020-Feb-09 00:00:00.0000,1.958665474862550E+09,-4.689767240299150E+09,-6.467194096820307E+07,1.695426911637692E+04,5.082762011992125E+09,1.124799663854620E+00
2458889.500000000,A.D. 2020-Feb-10 00:00:00.0000,1.959111780257388E+09,-4.689684363868707E+09,-6.480837321248007E+07,1.695459358892582E+04,5.082859286415112E+09,1.128931226694050E+00
2458890.500000000,A.D. 2020-Feb-11 00:00:00.0000,1.959558480346550E+09,-4.689602091847015E+09,-6.494654754641342E+07,1.695492064457583E+04,5.082957335232333E+09,1.141259117194636E+00
2458891.500000000,A.D. 2020-Feb-12 00:00:00.0000,1.960004280231074E+09,-4.689521254377519E+09,-6.508553760931039E+07,1.695525113350084E+04,5.083056413319502E+09,1.150809446235410E+00
2458892.500000000,A.D. 2020-Feb-13 00:00:00.0000,1.960448674421250E+09,-4.689441369635150E+09,-6.522368948707247E+07,1.695558285090489E+04,5.083155859695424E+09,1.149089602071002E+00
2458893.500000000,A.D. 2020-Feb-14 00:00:00.0000,1.960892397527124E+09,-4.689361073137493E+09,-6.536009585631204E+07,1.695591250270543E+04,5.083254686818992E+09,1.137653753368329E+00
2458894.500000000,A.D. 2020-Feb-15 00:00:00.0000,1.961336769986300E+09,-4.689279334300347E+09,-6.549540613607097E+07,1.695623864419250E+04,5.083352461577058E+09,1.126732692383422E+00
2458895.500000000,A.D. 2020-Feb-16 00:00:00.0000,1.961782519513673E+09,-4.689196376970610E+09,-6.563124793824029E+07,1.695656297170363E+04,5.083449692518815E+09,1.126102105869262E+00
2458896.500000000,A.D. 2020-Feb-17 00:00:00.0000,1.962229131241498E+09,-4.689113479603709E+09,-6.576877369037676E+07,1.695688880729672E+04,5.083547375572171E+09,1.136342857501260E+00
2458897.500000000,A.D. 2020-Feb-18 00:00:00.0000,1.962675308122990E+09,-4.689031833694225E+09,-6.590763274110794E+07,1.695721813245998E+04,5.083646104772345E+09,1.148338328258172E+00
2458898.500000000,A.D. 2020-Feb-19 00:00:00.0000,1.963120127899899E+09,-4.688951481724030E+09,-6.604628535176921E+07,1.695754982280378E+04,5.083745543035810E+09,1.151415974855768E+00
2458899.500000000,A.D. 2020-Feb-20 00:00:00.0000,1.963563864951471E+09,-4.688871279573373E+09,-6.618337521711802E+07,1.695788065146583E+04,5.083844722973580E+09,1.142852062164407E+00
2458900.500000000,A.D. 2020-Feb-21 00:00:00.0000,1.964007746411823E+09,-4.688789916063492E+09,-6.631893916352963E+07,1.695820816632676E+04,5.083942909458771E+09,1.130310123875093E+00
2458901.500000000,A.D. 2020-Feb-22 00:00:00.0000,1.964452857658770E+09,-4.688707083268331E+09,-6.645437564159179E+07,1.695853288011452E+04,5.084040256203352E+09,1.125013092465745E+00
2458902.500000000,A.D. 2020-Feb-23 00:00:00.0000,1.964899172949715E+09,-4.688623751926181E+09,-6.659119638836408E+07,1.695885781326923E+04,5.084137668712487E+09,1.131710445207220E+00
