jdtdb,calendar,x,y,z,lt,rg,rr
2458849.500000000,A.D. 2020-Jan-01 00:00:00.0000,1.081892249749067E+08,7.861125522626230E+06,-6.135421905733132E+06,3.624101224383953E+02,1.086478214098874E+08,-1.876357719609600E-01
2458850.500000000,A.D. 2020-Jan-02 00:00:00.0000,1.079159974148774E+08,1.086182606213612E+07,-6.078480810197334E+06,3.623554789531824E+02,1.086314397051418E+08,-1.915462359954888E-01
2458851.500000000,A.D. 2020-Jan-03 00:00:00.0000,1.075593762047562E+08,1.385413278204048E+07,-6.016842479913103E+06,3.622997294783586E+02,1.086147264330522E+08,-1.953104276371429E-01
2458852.500000000,A.D. 2020-Jan-04 00:00:00.0000,1.071195985625990E+08,1.683572840573250E+07,-5.950552400683060E+06,3.622429166091881E+02,1.085976943633575E+08,-1.989253134083940E-01
2458853.500000000,A.D. 2020-Jan-05 00:00:00.0000,1.065969655275063E+08,1.980430168816480E+07,-5.879659658478693E+06,3.621850837998859E+02,1.085803565233038E+08,-2.023879664102771E-01
2458854.500000000,A.D. 2020-Jan-06 00:00:00.0000,1.059918418549661E+08,2.275754915847785E+07,-5.804216909489246E+06,3.621262753325312E+02,1.085627261883243E+08,-2.056955688821925E-01
2458855.500000000,A.D. 2020-Jan-07 00:00:00.0000,1.053046558658868E+08,2.569317686382055E+07,-5.724280347481883E+06,3.620665362852520E+02,1.085448168725019E+08,-2.088454147060826E-01
2458856.500000000,A.D. 2020-Jan-08 00:00:00.0000,1.045358992490404E+08,2.860890211319415E+07,-5.639909668473004E+06,3.620059124996960E+02,1.085266423188168E+08,-2.118349118532785E-01
2458857.500000000,A.D. 2020-Jan-09 00:00:00.0000,1.036861268166594E+08,3.150245522012805E+07,-5.551168032712299E+06,3.619444505478036E+02,1.085082164891855E+08,-2.146615847721778E-01
2458858.500000000,A.D. 2020-Jan-10 00:00:00.0000,1.027559562129585E+08,3.437158124297500E+07,-5.458122023982986E+06,3.618821976979038E+02,1.084895535542965E+08,-2.173230767142501E-01
2458859.500000000,A.D. 2020-Jan-11 00:00:00.0000,1.017460675753828E+08,3.721404172159203E+07,-5.360841606223607E+06,3.618192018801468E+02,1.084706678832474E+08,-2.198171519953770E-01
2458860.500000000,A.D. 2020-Jan-12 00:00:00.0000,1.006572031484075E+08,4.002761640915317E+07,-5.259400077478709E+06,3.617555116512964E+02,1.084515740329898E+08,-2.221416981891182E-01
